cycle,first(COVID_Maths).S,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).H,first(COVID_Maths).M,first(COVID_Maths).D,first(COVID_Maths).R
177,3.477908261388437,0.7212088598552038,0.23714595892105467,0.1835235321166404,4.389418154446891,28.58516371344585,51.86942129400341
178,3.4778515004428736,0.7208459063195605,0.23702916908114757,0.18343211895016495,4.387196800506904,28.628254644720045,51.73644112211379
179,3.477934567734378,0.720485888057915,0.23691086869419406,0.18334003370364477,4.384978483814354,28.67132379938597,51.60414219598729
180,3.478145644235038,0.7201370075988972,0.23679393077309205,0.18324786785422956,4.382762865764468,28.71437119409738,51.47252026280342
181,3.4784707194319138,0.7198066143909329,0.23668098971492613,0.18315624034397399,4.380551763913211,28.757396864266976,51.341571638856024
182,3.4788940813115845,0.7195010933373831,0.236574396174763,0.18306577803824792,4.378348861346665,28.80040088252647,51.211293222187415
183,3.479398810036897,0.7192257848268354,0.23647618221221883,0.1829770976053316,4.376159396864141,28.843383374108477,51.08168248820696
184,3.4799672635877914,0.718984935494398,0.23638803667415215,0.1828907891228289,4.37398984471574,28.88634452904774,50.952737469809065
185,3.480581544789002,0.7187816783101165,0.23631129053682345,0.1828074016484787,4.371847592157511,28.929284611181966,50.82445672374064
186,3.4812239404153944,0.7186180400606563,0.23624691172680826,0.1827274309271089,4.369740622455951,28.972203964007555,50.69683928514155
187,3.4818773244123222,0.7184949738645718,0.23619550877121928,0.1826513093430584,4.367677210223324,29.015103013514004,50.56988461229753
188,3.482525518661412,0.7184124140316799,0.23615734249255024,0.18257939816921942,4.36566563512747,29.057982268180172,50.44359252370489
189,3.483153606133708,0.7183693503342293,0.23613234485909812,0.18251198211040445,4.363713919122842,29.100842316367057,50.317963129556226
